source,translation,context
Cannot send lifecycle: no buyer SIRET on {0}.,Impossible d'envoyer le cycle de vie : SIRET acheteur manquant sur {0}.,
Cannot send lifecycle: no supplier SIRET on {0}.,Impossible d'envoyer le cycle de vie : SIRET fournisseur manquant sur {0}.,
CDAR Generation Error,Erreur génération CDAR,
Failed to generate CDAR XML: {0},Échec de la génération du XML CDAR : {0},
Failed to send CDAR (HTTP {0}): {1},Échec d'envoi du CDAR (HTTP {0}) : {1},
Lifecycle Error,Erreur cycle de vie,
Lifecycle Send Error,Erreur d'envoi du cycle de vie,
Unknown lifecycle status code: {0},Code de statut cycle de vie inconnu : {0},
Cannot refuse this invoice.,Impossible de refuser cette facture.,
Comment,Commentaire,
Confirm Refusal,Confirmer le refus,
Failed to send refusal to platform.,Échec de l'envoi du refus à la plateforme.,
Invoice successfully refused,Facture refusée avec succès,
Label,Libellé,
Reason,Motif,
Reason Code,Code motif,
Refuse,Refuser,
Refuse Invoice,Refuser la facture,
Refused,Refusée,
Sending refusal...,Envoi du refus...,
Acknowledged by platform,Accusé de réception par la plateforme,
Data error (contact support),Erreur données (contacter le support),
Data error,Erreur données,
eInvoicing Lifecycle Log,Journal cycle de vie eFacture,
Lifecycle,Cycle de vie,
Lifecycle Logs,Journal cycle de vie,
Platform error,Erreur plateforme,
Pending acknowledgement,En attente d'accusé de réception,
Re-poll acknowledgement,Re-vérifier l'accusé de réception,
Status Code,Code statut,
Status Label,Libellé statut,
Sent At,Envoyé le,
CDAR Flow ID,Flow ID CDAR,
Acknowledgement,Accusé de réception,
Error Type,Type d'erreur,
Acknowledgement Message,Message accusé de réception,
All dates,Toutes les dates,
Apply,Appliquer,
Custom,Personnalisée,
Date range,Plage de dates,
From,Du,
Last 12 months,12 derniers mois,
Last 7 days,7 derniers jours,
Last 30 days,30 derniers jours,
Last 90 days,90 derniers jours,
To,Au,
Today,Aujourd'hui,
Invoices Pending,Factures en attente,
Synched,Synchronisé,
Provider Error,Erreur PA,
No PO,Pas de commande,
No PR,Pas de réception,
No Purchase Order found for this item,Aucune commande trouvée pour cet article,
No Purchase Receipt found for this item,Aucune réception trouvée pour cet article,
Partial,Partiel,
Please select a line,Veuillez sélectionner une ligne,
Quantity differs from PO line,La quantité diffère de la ligne de commande,
Quantity differs from PR line,La quantité diffère de la ligne de réception,
Remaining,Restant,
Select PO,Sélectionner une commande,
Select PR,Sélectionner une réception,
Select Purchase Order Line,Sélectionner une ligne de commande,
Select Purchase Receipt Line,Sélectionner une ligne de réception,
Re-match all pending invoices,Relancer la correspondance sur toutes les factures en attente,
Re-matching...,Correspondance en cours...,
{0} invoice(s) processed.,{0} facture(s) traitée(s).,
Convert All,Tout convertir,
Convert all {0} ready invoice(s)?,Convertir les {0} facture(s) prête(s) ?,
"{0} converted\, {1} errors.","{0} convertie(s)\, {1} erreur(s).",
Converting...,Conversion en cours...,
No flow ID returned by platform,Aucun identifiant de flux retourné par la plateforme,
No flow ID - CDAR was not sent successfully,Aucun identifiant de flux - le CDAR n'a pas été envoyé correctement,
No Approved Platform configured for company '{0}'.,Pas de PA configuré pour la société '{0}'.,
Dispute,Litige,
Resolve Dispute,Lever le litige,
Invoice Dispute,Litige sur facture,
Dispute sent,Litige envoyé,
Sending dispute...,Envoi du litige...,
Dispute resolved,Litige résolu,
Sending resolution...,Envoi de la résolution...,
Confirm that the dispute has been resolved?,Confirmez-vous que le litige a été résolu ?,
Cannot send dispute: current status is already {0}.,Impossible d'envoyer le litige : le statut actuel est déjà {0}.,
Cannot resolve dispute: current status is {0}.,Impossible de lever le litige : le statut actuel est {0}.,
Failed to send dispute to platform.,Échec de l'envoi du litige à la plateforme.,
Failed to send dispute resolution to platform.,Échec de l'envoi de la résolution à la plateforme.,
Disputed,Litige,
DisputeResolved,Litige résolu,
Suspended,Suspendu,
Retry,Réessayer,
Retrying...,Renvoi en cours...,
Lifecycle status resent,Statut CDAR renvoyé,
Failed to retry lifecycle status.,Échec du renvoi du statut.,
Suspend,Suspendre,
Suspend Invoice,Suspension de facture,
Sending suspension...,Envoi de la suspension...,
Invoice suspended,Facture suspendue,
Failed to send suspension to platform.,Échec de l'envoi de la suspension à la plateforme.,
Invoice is already suspended.,La facture est déjà suspendue.,
Cannot resolve dispute: current status is not a dispute.,Impossible de lever le litige : le statut actuel n'est pas un litige.,
Check status,Vérifier le statut,
Waiting for platform acknowledgement...,En attente de validation par la plateforme...,
